Epochs,maestro_loss,f1_score,precision,recall,dur_error,dur_loss,val_maestro_loss,val_f1_score,val_precision,val_recall,val_dur_error,val_dur_loss
0,0.3012346081013237,0.019102470949292183,0.061550579965114594,0.03437037020921707,0.9772047400474548,0.09772048145532608,0.17948400433514616,0.0,0.0,0.0,0.528320848941803,0.052832089364528656
1,0.2064077834709936,0.00186708674300462,0.13925081491470337,0.0009447875781916082,0.6734539270401001,0.06734540313482285,0.1713601103312689,0.0,0.0,0.0,0.44050511717796326,0.04405050724744797
2,0.19307232701706667,0.003226621076464653,0.3428536653518677,0.001627636607736349,0.6174781918525696,0.06174781918525696,0.18233113527209865,0.0,0.0,0.0,0.6233664155006409,0.06233662739396095
3,0.1826794372731687,0.014258966781198978,0.5283964276313782,0.007249751128256321,0.5806814432144165,0.05806814506649971,0.15963197016575031,0.00459506968036294,0.6135572791099548,0.002308306749910116,0.43614187836647034,0.043614182621240616
4,0.17624159455110575,0.027982236817479134,0.5261877179145813,0.014477269724011421,0.5549534559249878,0.055495329201221466,0.15466418060565648,0.014116360805928707,0.7402271032333374,0.007140777539461851,0.4022766947746277,0.04022766649723053
5,0.17222469279499494,0.039776258170604706,0.5758419632911682,0.020659176632761955,0.5427493453025818,0.05427493900060654,0.14892953206941276,0.024598075076937675,0.7487472295761108,0.012532796710729599,0.37930411100387573,0.03793041408061981
6,0.1682581121139146,0.051170092076063156,0.6048917770385742,0.02682708017528057,0.5225953459739685,0.05225951969623566,0.1666777323152256,0.04013991728425026,0.7176404595375061,0.020725024864077568,0.5736008286476135,0.057360079139471054
7,0.16548946364831427,0.05771110951900482,0.6055663824081421,0.0304103996604681,0.5137636661529541,0.051376380026340485,0.17054905014970262,0.07233130186796188,0.6421652436256409,0.03845241293311119,0.6055384278297424,0.06055384501814842
8,0.16283065966593907,0.07022395730018616,0.6442985534667969,0.037261977791786194,0.499380886554718,0.04993809387087822,0.14968147329815387,0.06220972165465355,0.6882742047309875,0.032689087092876434,0.42465677857398987,0.042465683072805405
9,0.16026973934878946,0.07745431363582611,0.641640305519104,0.04133857414126396,0.4871255159378052,0.04871254786849022,0.1462167425456967,0.060349490493535995,0.7449503540992737,0.031557176262140274,0.3977917432785034,0.039779182523489
10,0.15881149674239775,0.08680980652570724,0.6391295790672302,0.04670233651995659,0.48251038789749146,0.04825104400515556,0.13756248950737984,0.07050713151693344,0.7357589602470398,0.03712679445743561,0.3234246075153351,0.03234246000647545
11,0.15669881887816536,0.09445816278457642,0.6459429264068604,0.05112835019826889,0.47100627422332764,0.04710062965750694,0.13556771322875577,0.08308389782905579,0.7353376150131226,0.044103655964136124,0.3130812346935272,0.0313081257045269
12,0.15488995265688818,0.10365846008062363,0.6523273587226868,0.056568823754787445,0.46295487880706787,0.046295490115880966,0.15475100978206724,0.11493227630853653,0.7051321268081665,0.0626758337020874,0.5011183619499207,0.05011183023452759
13,0.1536264787435456,0.11089422553777695,0.6447625160217285,0.0609147772192955,0.4562337398529053,0.04562338814139366,0.1405805753762865,0.11714181303977966,0.7281957864761353,0.06384635716676712,0.3738444447517395,0.03738444671034813
14,0.15211930258820847,0.11899807304143906,0.6742867827415466,0.06544115394353867,0.4492599368095398,0.0449259914457798,0.1442464359892093,0.11759864538908005,0.7295511364936829,0.06419289112091064,0.4113578498363495,0.04113578796386719
15,0.1511802224464193,0.12416291236877441,0.6688445210456848,0.06863632798194885,0.44712066650390625,0.044712066650390625,0.14706134430496937,0.13428491353988647,0.7124529480934143,0.07428093254566193,0.4499204456806183,0.044992052018642426
16,0.14950546160184547,0.12884289026260376,0.6753109097480774,0.07145801186561584,0.43644919991493225,0.04364491626620293,0.13417865618986283,0.13638128340244293,0.7067088484764099,0.07577372342348099,0.32571426033973694,0.03257143124938011
17,0.14931617760284438,0.13530124723911285,0.6706246137619019,0.07547356188297272,0.4403808116912842,0.0440380796790123,0.13622470896110125,0.1511002480983734,0.709900438785553,0.08469261229038239,0.3487824499607086,0.03487825021147728
18,0.14822411362056986,0.1399347186088562,0.6834248900413513,0.07814016193151474,0.43615180253982544,0.043615177273750305,0.1332157491227916,0.12704657018184662,0.7429649829864502,0.06972554326057434,0.32626351714134216,0.03262634947896004
19,0.14730621575553998,0.14406727254390717,0.6736869215965271,0.08095598220825195,0.43047332763671875,0.04304733872413635,0.14849453112723118,0.1515936702489853,0.7346252202987671,0.08483156561851501,0.4815649688243866,0.0481564961373806
20,0.14683406963580992,0.14698152244091034,0.6748052835464478,0.08274206519126892,0.4323870539665222,0.04323871061205864,0.12889226605869272,0.13558755815029144,0.759331464767456,0.07460261881351471,0.2940007448196411,0.029400072991847992
21,0.1453424362459249,0.15537546575069427,0.6887314319610596,0.08776447176933289,0.42303305864334106,0.04230330139398575,0.1457703635151617,0.16874288022518158,0.7156272530555725,0.09616727381944656,0.4604063928127289,0.046040650457143784
22,0.14482360918725032,0.16076000034809113,0.6879757046699524,0.09128152579069138,0.42244505882263184,0.042244505137205124,0.14814700777673404,0.1631435751914978,0.7211657762527466,0.09220228344202042,0.4905867278575897,0.04905867576599121
23,0.14402487075400572,0.16094937920570374,0.6891521215438843,0.09138748794794083,0.4185523986816406,0.041855230927467346,0.1263559014265923,0.17311400175094604,0.7274569869041443,0.09852609038352966,0.2832685708999634,0.02832685224711895
24,0.14322549652215005,0.1690479815006256,0.68785560131073,0.09667990356683731,0.4160362482070923,0.041603635996580124,0.1295848461879859,0.1910896748304367,0.7144721746444702,0.11089916527271271,0.3163304328918457,0.03163304179906845
25,0.14251941828588766,0.1703743189573288,0.685921847820282,0.09755179286003113,0.41212722659111023,0.04121272638440132,0.12655915323223613,0.16551634669303894,0.7504106760025024,0.09333781898021698,0.28459325432777405,0.028459327295422554
26,0.14190069557482357,0.1769929677248001,0.6883670091629028,0.1018063947558403,0.4096531569957733,0.04096532240509987,0.12514872923878856,0.17529559135437012,0.7481874823570251,0.09948685020208359,0.2765243649482727,0.02765243500471115
27,0.14105465565918743,0.17854540050029755,0.6940133571624756,0.10273581743240356,0.4069569408893585,0.040695685893297195,0.12715320854674245,0.16438975930213928,0.7533880472183228,0.09248490631580353,0.2972812354564667,0.029728127643465996
28,0.14015526783062304,0.1787342131137848,0.7028125524520874,0.10265981405973434,0.40170249342918396,0.04017025604844093,0.12510173831132282,0.18279175460338593,0.7304975390434265,0.10476530343294144,0.2829587757587433,0.028295882046222687
29,0.14047215756242473,0.18580858409404755,0.6960434913635254,0.10759434103965759,0.40631234645843506,0.040631238371133804,0.12336453180884047,0.18617872893810272,0.7386930584907532,0.106787770986557,0.27073001861572266,0.027073001489043236
30,0.13927086185230875,0.19130626320838928,0.7000676989555359,0.11115250736474991,0.39971259236335754,0.039971254765987396,0.12463319457445159,0.18259228765964508,0.7622623443603516,0.10406295955181122,0.28206536173820496,0.028206540271639824
31,0.13913577766708457,0.1954304575920105,0.705914318561554,0.11371415108442307,0.4030291438102722,0.040302906185388565,0.12606413302294694,0.19564343988895416,0.752082884311676,0.11273889988660812,0.29999369382858276,0.029999367892742157
32,0.13812541602002998,0.1973828822374344,0.6992013454437256,0.11521510034799576,0.3965533375740051,0.03965533524751663,0.12481368441583489,0.2199973165988922,0.7268877625465393,0.12997986376285553,0.29841071367263794,0.029841070994734764
33,0.13786600557523776,0.20592759549617767,0.7086781859397888,0.12062474340200424,0.3975827097892761,0.03975827246904373,0.13336503364734975,0.21083565056324005,0.733067512512207,0.12358587235212326,0.38430365920066833,0.038430362939834595
34,0.13725533060986747,0.20743364095687866,0.7118827104568481,0.12167542427778244,0.39631420373916626,0.0396314337849617,0.12921411165222801,0.20427818596363068,0.7494202256202698,0.1184622123837471,0.3403877019882202,0.03403877094388008
35,0.13684294128535027,0.21193769574165344,0.7131810784339905,0.12478223443031311,0.39493316411972046,0.039493314921855927,0.12123449197409335,0.22973085939884186,0.7273353338241577,0.13673554360866547,0.2679111659526825,0.02679111808538437
36,0.13579007729269638,0.21284621953964233,0.7026658654212952,0.12579335272312164,0.38850298523902893,0.038850296288728714,0.12284877125369295,0.20716066658496857,0.7665431499481201,0.1199101135134697,0.2849288284778595,0.0284928809851408
37,0.13555496561969047,0.2200809121131897,0.7083194851875305,0.130707785487175,0.3893294632434845,0.03893294185400009,0.12169726861465972,0.22340282797813416,0.7353257536888123,0.13196519017219543,0.27590787410736084,0.027590787038207054
38,0.13487582465195377,0.22173532843589783,0.710832417011261,0.13184916973114014,0.385535329580307,0.038553521037101746,0.12233247319945387,0.23918838798999786,0.7315639853477478,0.14334671199321747,0.2840769588947296,0.028407692909240723
39,0.13478209110408182,0.22528445720672607,0.7125851511955261,0.134192556142807,0.3879040777683258,0.038790397346019745,0.11968481215233284,0.23784488439559937,0.7488353252410889,0.14173437654972076,0.26207205653190613,0.026207206770777702
40,0.13402375654400925,0.22946839034557343,0.7149075865745544,0.13696151971817017,0.3832777738571167,0.038327790796756744,0.12053769182603798,0.23222793638706207,0.7309512495994568,0.138284832239151,0.27334702014923096,0.027334706857800484
41,0.13368233127385556,0.2298632562160492,0.7101143002510071,0.13757282495498657,0.3834761381149292,0.03834761306643486,0.12162719995157859,0.23938129842281342,0.7430103421211243,0.1430831253528595,0.28599607944488525,0.028599606826901436
42,0.13280037198408065,0.23493221402168274,0.7102925181388855,0.14098018407821655,0.37952595949172974,0.037952594459056854,0.11954424161318047,0.23063267767429352,0.7517533898353577,0.13661177456378937,0.2690272629261017,0.026902729645371437
43,0.13291495645729695,0.23920132219791412,0.7153246998786926,0.14387282729148865,0.3830936849117279,0.03830936923623085,0.12212735463514737,0.2523803114891052,0.7132357358932495,0.15357044339179993,0.2996206283569336,0.029962068423628807
44,0.13166706313579415,0.2453586608171463,0.72100830078125,0.14815229177474976,0.37446892261505127,0.03744688630104065,0.13490491910546423,0.2589530050754547,0.7149736881256104,0.1583496332168579,0.4262836277484894,0.04262835532426834
45,0.13174548874012382,0.24793009459972382,0.7207333445549011,0.14997392892837524,0.3784463405609131,0.03784463182091713,0.11952281686568912,0.2445133626461029,0.7514917254447937,0.14627273380756378,0.2762969732284546,0.02762969769537449
46,0.13105057790700794,0.2480962723493576,0.7182393074035645,0.15025733411312103,0.3744923770427704,0.03744924068450928,0.12025853798773584,0.2639962434768677,0.7392057776451111,0.1609838604927063,0.28736716508865356,0.028736716136336327
47,0.13057076922503688,0.25603988766670227,0.7212300300598145,0.1559756100177765,0.37413039803504944,0.03741304576396942,0.11918649079618152,0.25591105222702026,0.7694976329803467,0.15384231507778168,0.2767820358276367,0.027678202837705612
48,0.13004251689634483,0.2565842568874359,0.7187396883964539,0.15650668740272522,0.37144529819488525,0.037144534289836884,0.12053194422899839,0.25801271200180054,0.7597622275352478,0.15574420988559723,0.29622793197631836,0.029622787609696388
49,0.12925046859359227,0.25898826122283936,0.7280028462409973,0.15790607035160065,0.36859017610549927,0.03685901314020157,0.12845337703680867,0.2685893774032593,0.7323560118675232,0.1647351086139679,0.37474554777145386,0.037474554032087326
50,0.12906442589687328,0.26490676403045654,0.7194573879241943,0.16262775659561157,0.3685486614704132,0.03685486689209938,0.11600860690110186,0.26015856862068176,0.742124617099762,0.15836837887763977,0.2533901035785675,0.02533900924026966
51,0.12878937537359747,0.26973843574523926,0.7253003716468811,0.16607850790023804,0.369175523519516,0.036917544901371,0.11624906129490774,0.2718755006790161,0.7362158298492432,0.16728238761425018,0.25759896636009216,0.025759899988770485
52,0.12848701240482457,0.27245599031448364,0.7209423184394836,0.1683378964662552,0.3693801760673523,0.03693801537156105,0.11753498406561762,0.2745480239391327,0.7538802623748779,0.16840237379074097,0.27633950114250183,0.027633946388959885
