Epoch,Batch,lstm_1,lstm_2,dense_1,dense_2
1,1,-0.16850177943706512,-0.031903937458992004,-0.021558456122875214,-0.01661079190671444
1,2,-0.08885867893695831,-0.019891178235411644,-0.014432880096137524,-0.011302883736789227
1,3,-0.08342479169368744,-0.02534438855946064,-0.014265951700508595,-0.01308527309447527
1,4,-0.10554441809654236,-0.019535206258296967,-0.009759770706295967,-0.01392800360918045
1,5,-0.06294529139995575,-0.013480229303240776,-0.011807828210294247,-0.014319322071969509
1,6,-0.11709591001272202,-0.014122099615633488,-0.011225592344999313,-0.013739321380853653
1,7,-0.02181220054626465,-0.007986447773873806,-0.008681448176503181,-0.013609674759209156
1,8,-0.01936454512178898,-0.005808900576084852,-0.0042557441629469395,-0.016691017895936966
1,9,-0.07432232052087784,-0.006701970472931862,-0.006813763175159693,-0.018444940447807312
1,10,-0.1304042637348175,-0.006060435902327299,-0.0063154371455311775,-0.014613894745707512
1,11,-0.028643077239394188,-0.006946352310478687,-0.0051116799004375935,-0.014141100458800793
1,12,-0.010339184664189816,-0.002447090344503522,-0.003164971712976694,-0.01334828045219183
1,13,-0.11210350692272186,-0.01491239108145237,-0.005158430431038141,-0.01430264301598072
1,14,-0.026063209399580956,-0.011596739292144775,-0.005213904660195112,-0.013434615917503834
1,15,-0.016317900270223618,-0.00228522508405149,-0.002134576439857483,-0.014002877287566662
1,16,-0.019990134984254837,-0.0026915736962109804,-0.00259562861174345,-0.015012338757514954
1,17,-0.006228307727724314,-0.00191330851521343,-0.0026991914492100477,-0.016028156504034996
1,18,-0.009457246400415897,-0.0017177901463583112,-0.0019494309090077877,-0.01154418010264635
1,19,-0.01241681631654501,-0.004643100313842297,-0.0025306432507932186,-0.015011437237262726
1,20,-0.02808600850403309,-0.0023436571937054396,-0.00261630374006927,-0.01798335276544094
1,21,-0.031380511820316315,-0.0035739955492317677,-0.002252467442303896,-0.014164282009005547
1,22,-0.05344313010573387,-0.00253373384475708,-0.002048939000815153,-0.012504953891038895
1,23,-0.01201852411031723,-0.0014023458352312446,-0.0013806868810206652,-0.01511305756866932
